order_id,customer_id,order_date
1,48,2024-11-04 11:53:28.623599
2,73,2024-12-26 11:53:28.623599
3,23,2025-07-13 11:53:28.623599
4,97,2025-06-07 11:53:28.623599
5,29,2025-04-21 11:53:28.623599
6,17,2024-11-14 11:53:28.623599
7,8,2025-01-06 11:53:28.623599
8,54,2024-09-14 11:53:28.623599
9,60,2025-06-12 11:53:28.623599
10,27,2024-11-29 11:53:28.623599
11,92,2025-03-25 11:53:28.623599
12,73,2025-07-22 11:53:28.623599
13,89,2025-06-02 11:53:28.623599
14,40,2024-12-24 11:53:28.623599
15,37,2024-09-23 11:53:28.623599
16,43,2025-01-25 11:53:28.623599
17,92,2024-11-16 11:53:28.623599
18,59,2025-01-04 11:53:28.623599
19,7,2025-07-04 11:53:28.623599
20,79,2024-10-11 11:53:28.623599
21,94,2024-08-12 11:53:28.623599
22,63,2025-07-05 11:53:28.623599
23,9,2024-12-06 11:53:28.623599
24,12,2024-11-26 11:53:28.623599
25,63,2025-07-31 11:53:28.623599
26,66,2024-10-15 11:53:28.623599
27,42,2025-05-08 11:53:28.623599
28,37,2025-05-21 11:53:28.623599
29,97,2025-05-15 11:53:28.623599
30,69,2025-06-29 11:53:28.623599
31,79,2025-02-01 11:53:28.623599
32,73,2025-07-27 11:53:28.623599
33,38,2024-08-30 11:53:28.623599
34,8,2024-08-10 11:53:28.623599
35,92,2025-04-01 11:53:28.623599
36,6,2025-07-30 11:53:28.623599
37,75,2025-01-24 11:53:28.623599
38,34,2025-03-24 11:53:28.623599
39,29,2024-12-10 11:53:28.623599
40,83,2025-06-28 11:53:28.623599
41,3,2024-11-01 11:53:28.623599
42,23,2025-06-15 11:53:28.623599
43,64,2024-09-29 11:53:28.623599
44,47,2024-10-05 11:53:28.623599
45,72,2024-11-28 11:53:28.623599
46,85,2024-10-26 11:53:28.623599
47,32,2025-02-20 11:53:28.623599
48,70,2025-04-22 11:53:28.623599
49,75,2025-03-18 11:53:28.623599
50,95,2025-03-13 11:53:28.623599
51,50,2024-12-09 11:53:28.623599
52,87,2025-03-21 11:53:28.623599
53,96,2025-01-25 11:53:28.623599
54,32,2024-12-20 11:53:28.623599
55,95,2025-03-29 11:53:28.623599
56,21,2024-09-13 11:53:28.623599
57,54,2025-04-23 11:53:28.623599
58,97,2025-05-15 11:53:28.623599
59,53,2025-01-02 11:53:28.623599
60,36,2025-05-28 11:53:28.623599
61,28,2025-01-01 11:53:28.623599
62,63,2025-04-29 11:53:28.623599
63,6,2024-09-16 11:53:28.623599
64,22,2025-06-16 11:53:28.623599
65,48,2024-08-22 11:53:28.623599
66,51,2024-12-03 11:53:28.623599
67,8,2025-01-12 11:53:28.623599
68,77,2024-12-21 11:53:28.623599
69,25,2024-08-06 11:53:28.623599
70,60,2024-10-03 11:53:28.623599
71,90,2024-08-09 11:53:28.623599
72,10,2024-10-27 11:53:28.623599
73,35,2025-05-22 11:53:28.623599
74,85,2024-12-28 11:53:28.623599
75,86,2024-11-22 11:53:28.623599
76,78,2025-06-25 11:53:28.623599
77,92,2024-09-28 11:53:28.623599
78,78,2025-02-05 11:53:28.623599
79,94,2024-08-13 11:53:28.623599
80,62,2025-05-31 11:53:28.623599
81,97,2024-11-13 11:53:28.623599
82,84,2024-12-08 11:53:28.623599
83,37,2025-01-18 11:53:28.623599
84,54,2025-02-12 11:53:28.623599
85,53,2025-07-13 11:53:28.623599
86,98,2024-12-01 11:53:28.623599
87,15,2025-07-03 11:53:28.623599
88,99,2024-11-13 11:53:28.623599
89,44,2025-07-16 11:53:28.623599
90,42,2025-04-06 11:53:28.623599
91,2,2024-11-03 11:53:28.623599
92,90,2025-05-15 11:53:28.623599
93,93,2025-05-07 11:53:28.623599
94,24,2025-04-21 11:53:28.623599
95,42,2025-02-03 11:53:28.623599
96,63,2024-10-31 11:53:28.623599
97,92,2025-07-31 11:53:28.623599
98,72,2024-11-01 11:53:28.623599
99,93,2025-01-03 11:53:28.623599
100,70,2024-12-29 11:53:28.623599
101,6,2025-04-30 11:53:28.623599
102,10,2024-08-29 11:53:28.623599
103,65,2024-11-12 11:53:28.623599
104,81,2025-01-01 11:53:28.623599
105,99,2024-10-31 11:53:28.623599
106,93,2025-01-10 11:53:28.623599
107,8,2024-10-05 11:53:28.623599
108,92,2025-05-17 11:53:28.623599
109,40,2025-05-06 11:53:28.623599
110,44,2025-08-05 11:53:28.623599
111,57,2025-02-08 11:53:28.623599
112,18,2024-11-26 11:53:28.623599
113,35,2025-01-06 11:53:28.623599
114,92,2025-05-20 11:53:28.623599
115,50,2024-08-28 11:53:28.623599
116,92,2024-12-17 11:53:28.623599
117,53,2025-01-22 11:53:28.623599
118,2,2025-02-07 11:53:28.623599
119,26,2025-03-19 11:53:28.623599
120,96,2025-02-05 11:53:28.623599
121,3,2025-05-08 11:53:28.623599
122,35,2024-12-26 11:53:28.623599
123,72,2025-04-16 11:53:28.623599
124,40,2025-05-27 11:53:28.623599
125,32,2025-07-15 11:53:28.623599
126,1,2024-09-01 11:53:28.623599
127,61,2024-10-27 11:53:28.623599
128,46,2025-01-05 11:53:28.623599
129,38,2025-05-17 11:53:28.623599
130,89,2024-08-09 11:53:28.623599
131,14,2025-06-13 11:53:28.623599
132,90,2025-04-28 11:53:28.623599
133,32,2025-07-26 11:53:28.623599
134,87,2024-11-25 11:53:28.623599
135,74,2025-06-29 11:53:28.623599
136,29,2025-03-07 11:53:28.623599
137,48,2024-11-13 11:53:28.623599
138,47,2025-01-30 11:53:28.623599
139,2,2025-02-16 11:53:28.623599
140,99,2025-04-26 11:53:28.623599
141,86,2025-05-16 11:53:28.623599
142,47,2025-04-15 11:53:28.623599
143,17,2025-01-14 11:53:28.624603
144,18,2024-12-21 11:53:28.624603
145,38,2025-05-17 11:53:28.624603
146,30,2025-02-12 11:53:28.624603
147,71,2024-10-24 11:53:28.624603
148,63,2024-08-06 11:53:28.624603
149,3,2024-08-31 11:53:28.624603
150,42,2024-11-01 11:53:28.624603
151,64,2024-10-15 11:53:28.624603
152,70,2025-05-30 11:53:28.624603
153,84,2025-05-29 11:53:28.624603
154,62,2025-04-15 11:53:28.624603
155,68,2024-10-30 11:53:28.624603
156,10,2025-06-26 11:53:28.624603
157,69,2024-08-16 11:53:28.624603
158,54,2025-02-25 11:53:28.624603
159,18,2024-11-21 11:53:28.624603
160,40,2025-04-27 11:53:28.624603
161,12,2025-01-07 11:53:28.624603
162,62,2025-05-14 11:53:28.624603
163,15,2025-06-20 11:53:28.624603
164,56,2025-03-07 11:53:28.624603
165,38,2024-12-28 11:53:28.624603
166,71,2024-11-18 11:53:28.624603
167,39,2025-02-11 11:53:28.624603
168,28,2024-11-17 11:53:28.624603
169,51,2024-10-13 11:53:28.624603
170,99,2025-04-11 11:53:28.624603
171,30,2025-07-11 11:53:28.624603
172,82,2025-02-12 11:53:28.624603
173,65,2025-04-23 11:53:28.624603
174,79,2025-03-05 11:53:28.624603
175,51,2024-12-24 11:53:28.624603
176,93,2024-11-19 11:53:28.624603
177,94,2025-07-08 11:53:28.624603
178,85,2025-04-18 11:53:28.624603
179,8,2025-04-30 11:53:28.624603
180,68,2025-07-11 11:53:28.624603
181,91,2025-02-25 11:53:28.624603
182,94,2024-08-18 11:53:28.624603
183,22,2025-01-01 11:53:28.624603
184,67,2025-03-13 11:53:28.624603
185,38,2025-03-09 11:53:28.624603
